id,title,authors,venue,year
2075,Projecting XML Documents,"A Marian, J Siméon",VLDB,2003
2076,Mixed Mode XML Query Processing,"A Halverson, J Burger, L Galanis, A Kini, R Krishnamurthy, A Rao, F Tian, S Viglas, Y Wang, J Naughton, D DeWitt",VLDB,2003
2077,From Tree Patterns to Generalized Tree Patterns: On Efficient Evaluation of XQuery,"Z Chen, H Jagadish, L Lakshmanan, S Paparizos",VLDB,2003
2078,Efficient Processing of Expressive Node-Selecting Queries on XML Data in Secondary Storage: A Tree Automata-based Approach,C Koch,VLDB,2003
2079,Query Processing for High-Volume XML Message Brokering,"Y Diao, M Franklin",VLDB,2003
2080,A Framework for Clustering Evolving Data Streams,"C Aggarwal, J Han, J Wang, P Yu",VLDB,2003
2081,A Regression-Based Temporal Pattern Mining Scheme for Data Streams,"W Teng, M Chen, P Yu",VLDB,2003
2082,On the Costs of Multilingualism in Database Systems,"A Kumaran, J Haritsa",VLDB,2003
2083,Distributed Top-N Query Processing with Possibly Uncooperative Local Systems,"C Yu, G Philip, W Meng",VLDB,2003
2084,Optimized Query Execution in Large Search Engines with Global Page Ordering,"X Long, T Suel",VLDB,2003
2085,Path Queries on Compressed XML,"P Buneman, M Grohe, C Koch",VLDB,2003
2086,On the minimization of Xpath queries,"S Flesca, F Furfaro, E Masciari",VLDB,2003
2087,Covering Indexes for XML Queries: Bisimulation - Simulation = Negation,P Ramanan,VLDB,2003
2088,Buffering Accesses to Memory-Resident Index Structures,"J Zhou, K Ross",VLDB,2003
2089,Balancing Performance and Data Freshness in Web Database Servers,"A Labrinidis, N Roussopoulos",VLDB,2003
2090,VIPAS: Virtual Link Powered Authority Search in the Web,"C Lin, M Chen",VLDB,2003
2091,SASH: A Self-Adaptive Histogram Set for Dynamically Changing Workloads,"L Lim, M Wang, J Vitter",VLDB,2003
2092,Data Bubbles for Non-Vector Data: Speeding-up Hierarchical Clustering in Arbitrary Metric Spaces,"J Zhou, J Sander",VLDB,2003
2093,A Shrinking-Based Approach for Multi-Dimensional Data Analysis,"Y Shi, Y Song, A Zhang",VLDB,2003
2094,COMBI-Operator: Database Support for Data Mining Applications,"A Hinneburg, W Lehner, D Habich",VLDB,2003
2095,"Data Morphing: An Adaptive, Cache-Conscious Storage Technique","R Hankins, J Patel",VLDB,2003
2096,Load Shedding in a Data Stream Manager,"N Tatbul, U Çetintemel, S Zdonik, M Cherniack, M Stonebraker",VLDB,2003
2097,Scheduling for shared window joins over data streams,"M Hammad, M Franklin, W Aref, A Elmagarmid",VLDB,2003
2098,Maximizing the Output Rate of Multi-Way Join Queries over Streaming Information Sources,"S Viglas, J Naughton, J Burger",VLDB,2003
2099,Holistic Twig Joins on Indexed XML Documents,"H Jiang, W Wang, H Lu, J Yu",VLDB,2003
2100,WISE-Integrator: An Automatic Integrator of Web Search Interfaces for E-Commerce,"H He, W Meng, C Yu, Z Wu",VLDB,2003
2101,"AQuery: Query Language for Ordered Data, Optimization Techniques, and Experiments","A Lerner, D Shasha",VLDB,2003
2102,Tuple Routing Strategies for Distributed Eddies,"F Tian, D DeWitt",VLDB,2003
2103,Querying the Internet with PIER,"R Huebsch, J Hellerstein, N Lanham, B Loo, S Shenker, I Stoica",VLDB,2003
2104,Mapping Adaptation under Evolving Schemas,"Y Velegrakis, R Miller, L Popa",VLDB,2003
2105,Locking Protocols for Materialized Aggregate Join Views,"G Luo, J Naughton, C Ellmann, M Watzke",VLDB,2003
2106,"Adaptive, Hands-Off Stream Mining","S Papadimitriou, A Brockwell, C Faloutsos",VLDB,2003
2107,Composing Mappings Among Data Sources,"J Madhavan, A Halevy",VLDB,2003
2108,Temporal Slicing in the Evaluation of XML Queries,"D Gao, R Snodgrass",VLDB,2003
2109,The Generalized Pre-Grouping Transformation: Aggregate-Query Optimization in the Presence of Dependencies,"A Tsois, T Sellis",VLDB,2003
2110,Supporting Frequent Updates in R-Trees: A Bottom-Up Approach,"M Lee, W Hsu, C Jensen, B Cui, K Teo",VLDB,2003
2111,The ND-Tree: A Dynamic Indexing Technique for Multidimensional Non-ordered Discrete Data Spaces,"G Qian, Q Zhu, Q Xue, S Pramanik",VLDB,2003
2112,Coarse-Grained Optimization: Techniques for Rewriting SQL Statement Sequences,"T Kraft, H Schwarz, R Rantzau, B Mitschang",VLDB,2003
2113,Processing Sliding Window Multi-Joins in Continuous Queries over Data Streams,"L Golab, M Özsu",VLDB,2003
2114,Finding Hierarchical Heavy Hitters in Data Streams,"G Cormode, F Korn, S Muthukrishnan, D Srivastava",VLDB,2003
2115,Star-Cubing: Computing Iceberg Cubes by Top-Down and Bottom-Up Integration,"D Xin, J Han, X Li, B Wah",VLDB,2003
2116,Checks and Balances: Monitoring Data Quality Problems in Network Traffic Databases,"F Korn, S Muthukrishnan, Y Zhu",VLDB,2003
2117,Systematic Development of Data Mining-Based Data Quality Tools,"D Lübbers, U Grimmer, M Jarke",VLDB,2003
2118,Continuous K-Nearest Neighbor Queries for Continuously Moving Points with Updates,"G Iwerks, H Samet, K Smith",VLDB,2003
2119,Staircase Join: Teach a Relational DBMS to Watch its (Axis) Steps,"T Grust, M Keulen, J Teubner",VLDB,2003
2120,An Almost-Serial Protocol for Transaction Execution in Main-Memory Database Systems,"S Blott, H Korth",VLDB,2002
2121,Lightweight Flexible Isolation for Language-based Extensible Systems,"L Daynès, G Czajkowski",VLDB,2002
2122,Processing Star Queries on Hierarchically-Clustered Fact Tables,"N Karayannidis, A Tsois, T Sellis, R Pieringer, V Markl, F Ramsak, R Fenk, K Elhardt, R Bayer",VLDB,2002
2123,Exploiting Versions for On-line Data Warehouse Maintenance in MOLAP Servers,"H Kang, C Chung",VLDB,2002
2124,ProTDB: Probabilistic Data in XML,"A Nierman, H Jagadish",VLDB,2002
2125,DISCOVER: Keyword Search in Relational Databases,"V Hristidis, Y Papakonstantinou",VLDB,2002
2126,Maintaining Data Privacy in Association Rule Mining,"S Rizvi, J Haritsa",VLDB,2002
2127,A Logical Framework for Scheduling Workflows under Resource Allocation Constraints,"P Senkul, M Kifer, I Toroslu",VLDB,2002
2128,Incremental Maintenance for Non-Distributive Aggregate Functions,"T Palpanas, R Sidle, R Cochrane, H Pirahesh",VLDB,2002
2129,Reverse Nearest Neighbor Aggregates Over Data Streams,"F Korn, S Muthukrishnan, D Srivastava",VLDB,2002
2130,Tree Pattern Aggregation for Scalable XML Data Dissemination,"C Chan, W Fan, P Felber, M Garofalakis, R Rastogi",VLDB,2002
2131,DTD-Directed Publishing with Attribute Translation Grammars,"M Benedikt, C Chan, W Fan, R Rastogi, S Zheng, A Zhou",VLDB,2002
2132,FAS - A Freshness-Sensitive Coordination Middleware for a Cluster of OLAP Components,"U Röhm, K Böhm, H Schek, H Schuldt",VLDB,2002
2133,The Generalized MDL Approach for Summarization,"L Lakshmanan, R Ng, C Wang, X Zhou, T Johnson",VLDB,2002
2134,Quotient Cube: How to Summarize the Semantics of a Data Cube,"L Lakshmanan, J Pei, J Han",VLDB,2002
2135,A One-Pass Aggregation Algorithm with the Optimal Buffer Size in Multidimensional OLAP,"Y Lee, K Whang, Y Moon, I Song",VLDB,2002
2136,Experience Report: Exploiting Advanced Database Optimization Features for Large-Scale SAP R/3 Installations,"B Zeller, A Kemper",VLDB,2002
2137,"GnatDb: A Small-Footprint, Secure Database System",R Vingralek,VLDB,2002
2138,A New Passenger Support System for Public Transport using Mobile Database Access,"K Goto, Y Kambayashi",VLDB,2002
2139,Information Integration and XML in IBM's DB2,P Selinger,VLDB,2002
2140,Toward Recovery-Oriented Computing,A Fox,VLDB,2002
2141,A Multi-version Cache Replacement and Prefetching Policy for Hybrid Data Delivery Environments,"A Seifert, M Scholl",VLDB,2002
2142,Business Process Cockpit,"M Sayal, F Casati, U Dayal, M Shan",VLDB,2002
2143,SMART: Making DB2 (More) Autonomic,"G Lohman, S Lightstone",VLDB,2002
2144,XMark: A Benchmark for XML Data Management,"A Schmidt, F Waas, M Kersten, M Carey, I Manolescu, R Busse",VLDB,2002
2145,SQL Memory Management in Oracle9i,"B Dageville, M Zaït",VLDB,2002
2146,"Preference SQL - Design, Implementation, Experiences","W Kießling, G Köstler",VLDB,2002
2147,The Denodo Data Integration Platform,"A Pan, J Raposo, M Álvarez, P Montoto, V Orjales, J Hidalgo, L Ardao, A Molano, Á Viña",VLDB,2002
2148,"The gRNA: A Highly Programmable Infrastructure for Prototyping, Developing and Deploying Genomics-Centric Applications","A Laud, S Bhowmick, P Cruz, D Singh, G Rajesh",VLDB,2002
2149,OBK - An Online High Energy Physics' Meta-Data Repository,"I Alexandrov, A Amorim, E Badescu, M Barczyk, D Burckhart-Chromek, M Caprini, M Dobson, J Flammer, R Hart, R Jones, A Kazarov, S Kolos, V Kotov, D Liko, L Lucio, L Mapelli, M Mineev, L Moneta, I Papadopoulos, M Nassiakou, N Parrington, L Pedro, A Ribeiro,",VLDB,2002
2150,Joining Ranked Inputs in Practice,"I Ilyas, W Aref, A Elmagarmid",VLDB,2002
2151,An Efficient Method for Performing Record Deletions and Updates Using Index Scans,C Mohan,VLDB,2002
2152,ServiceGlobe: Distributing E-Services Across the Internet,"M Keidl, S Seltzsam, K Stocker, A Kemper",VLDB,2002
2153,SELF-SERV: A Platform for Rapid Composition of Web Services in a Peer-to-Peer Environment,"Q Sheng, B Benatallah, M Dumas, E Mak",VLDB,2002
2154,An Automated System for Web Portal Personalization,"C Aggarwal, P Yu",VLDB,2002
2155,EOS: Exactly-Once E-Service Middleware,"G Shegalov, G Weikum, R Barga, D Lomet",VLDB,2002
2156,Experiments on Query Expansion for Internet Yellow Page Services Using Web Log Mining,"Y Ohura, K Takahashi, I Pramudiono, M Kitsuregawa",VLDB,2002
2157,Issues and Evaluations of Caching Solutions for Web Application Acceleration,"W Li, W Hsiung, D Kalashnikov, R Sion, O Po, D Agrawal, K Candan",VLDB,2002
2158,The Rubicon of Smart Data,R King,VLDB,2002
2159,Information Management Challenges from the Aerospace Industry,S Sripada,VLDB,2002
2160,Extending an ORDBMS: The StateMachine Module,"W Mahnke, C Mathis, H Steiert",VLDB,2002
2161,BANKS: Browsing and Keyword Searching in Relational Databases,"B Aditya, G Bhalotia, S Chakrabarti, A Hulgeri, C Nakhe, P Parag, S Sudarshan",VLDB,2002
2162,Profiling and Internet Connectivity in Automotive Environments,"M Cilia, P Hasselmayer, A Buchmann",VLDB,2002
2163,GeMBASE: A Geometric Mediator for Brain Analysis with Surface Ensembles,"S Santini, A Gupta",VLDB,2002
2164,RTMonitor: Real-Time Data Monitoring Using Mobile Agent Technologies,"K Lam, A Kwan, K Ramamritham",VLDB,2002
2165,Viator - A Tool Family for Graphical Networking and Data View Creation,"S Heymann, K Tham, A Kilian, G Wegner, P Rieger, D Merkel, J Freytag",VLDB,2002
2166,Database Technologies for Electronic Commerce,"R Agrawal, R Srikant, Y Xu",VLDB,2002
2167,Advanced Database Technologies in a Diabetic Healthcare System,"W Hsu, M Lee, B Ooi, P Mohanty, K Teo, C Xia",VLDB,2002
2168,Caching Technologies for Web Applications,C Mohan,VLDB,2001
2169,Approximate Query Processing: Taming the TeraBytes,"M Garofalakis, P Gibbons",VLDB,2001
2170,A-TOPSS - A Publish/Subscribe System Supporting Approximate Matching,"H Liu, H Jacobsen",VLDB,2002
2171,ALIAS: An Active Learning led Interactive Deduplication System,"S Sarawagi, A Bhamidipaty, A Kirpal, C Mouli",VLDB,2002
2172,Champagne: Data Change Propagation for Heterogeneous Information Systems,"R Rantzau, C Constantinescu, U Heinkel, H Meinecke",VLDB,2002
2173,enTrans: A System for Flexible Consistency Maintenance in Directory Applications,"A Herlekar, A Deopujari, K Ramamritham, S Gopale, S Shukla",VLDB,2002
2174,LegoDB: Customizing Relational Storage for XML Documents,"P Bohannon, J Freire, J Haritsa, M Ramanath, P Roy, J Siméon",VLDB,2002
2175,Active XML: Peer-to-Peer Data and Web Services Integration,"S Abiteboul, O Benjelloun, I Manolescu, T Milo, R Weber",VLDB,2002
2176,Crawling the Hidden Web,"S Raghavan, H Garcia-Molina",VLDB,2001
2177,Discovery of Influence Sets in Frequently Updated Databases,"I Stanoi, M Riedewald, D Agrawal, A Abbadi",VLDB,2001
2178,Analyzing Quantitative Databases: Image is Everything,"A Amir, R Kashi, N Netanyahu",VLDB,2001
2179,A Formal Perspective on the View Selection Problem,"R Chirkova, A Halevy, D Suciu",VLDB,2001
2180,Generic Schema Matching with Cupid,"J Madhavan, P Bernstein, E Rahm",VLDB,2001
2181,"Et tu, XML? The downfall of the relational empire (abstract)",P Wadler,VLDB,2001
2182,"Business Process Coordination: State of the Art, Trends, and Open Issues","U Dayal, M Hsu, R Ladin",VLDB,2001
2183,Data Management for Pervasive Computing,"M Cherniack, M Franklin, S Zdonik",VLDB,2001
2184,Data Stream Query Processing: A Tutorial,,,2003
2185,Grid Data Management Systems & Services,,,2003
2186,"Constructing and integrating data-centric Web Applications: Methods, Tools, and Techniques",,,2003
2187,"Database Tuning: Principles, Experiments, and Troubleshooting Techniques","D Shasha, P Bonnet",VLDB,2002
2188,Efficient Algorithms for Processing XPath Queries,"G Gottlob, C Koch, R Pichler",VLDB,2002
2189,Comparing Data Streams Using Hamming Norms (How to Zero In),"G Cormode, M Datar, P Indyk, S Muthukrishnan",VLDB,2002
2190,A Case for Fractured Mirrors,"R Ramamurthy, D DeWitt, Q Su",VLDB,2002
2191,Fast and Accurate Text Classification via Multiple Linear Discriminant Projections,"S Chakrabarti, S Roy, M Soundalgekar",VLDB,2002
2192,eBusiness Standards and Architectures,,,2002
2193,Querying and Mining Data Streams: You Only Get One Look,,,2002
2194,Application Servers and Associated Technologies,,,2002
2195,Automation in Information Extraction and Data Integration,,,2002
2196,Searching and Mining Fine-Grained Semi-Structured Data,,,2002
2197,Sensor Data Mining: Similarity Search and Pattern Analysis,,,2002
2198,"Wireless Graffiti - Data, Data Everywhere Matters","T Imielinski, B Badrinath",VLDB,2002
2199,Self-tuning Database Technology and Information Services: from Wishful Thinking to Viable Engineering,"G Weikum, A Mönkeberg, C Hasse, P Zabback",VLDB,2002
2200,Adaptable Similarity Search using Non-Relevant Information,"T Ashwin, R Gupta, S Ghosal",VLDB,2002
2201,REFEREE: An Open Framework for Practical Testing of Recommender Systems using ResearchIndex,"D Cosley, S Lawrence, D Pennock",VLDB,2002
2202,Database Selection Using Actual Physical and Acquired Logical Collection Resources in a Massive Domain-specific Operational Environment,"J Conrad, X Guo, P Jackson, M Meziou",VLDB,2002
2203,Sideway Value Algebra for Object-Relational Databases,"G Özsoyoglu, A Al-Hamdani, I Altingövde, S Özel, Ö Ulusoy, Z Özsoyoglu",VLDB,2002
2204,Incorporating XSL Processing into Database Engines,G Moerkotte,VLDB,2002
2205,Structural Function Inlining Technique for Structurally Recursive XML Queries,"C Park, J Min, C Chung",VLDB,2002
2206,Chip-Secured Data Access: Confidential Data on Untrusted Servers,"L Bouganim, P Pucheral",VLDB,2002
2207,Optimizing View Queries in ROLEX to Support Navigable Result Trees,"P Bohannon, S Ganguly, H Korth, P Narayan, P Shenoy",VLDB,2002
2208,Watermarking Relational Databases,"R Agrawal, J Kiernan",VLDB,2002
2209,Hippocratic Databases,"R Agrawal, J Kiernan, R Srikant, Y Xu",VLDB,2002
2210,Plan Selection Based on Query Clustering,"A Ghosh, J Parikh, V Sengar, J Haritsa",VLDB,2002
2211,Parametric Query Optimization for Linear and Piecewise Linear Cost Functions,"A Hulgeri, S Sudarshan",VLDB,2002
2212,Streaming Queries over Streaming Data,"S Chandrasekaran, M Franklin",VLDB,2002
2213,Generic Database Cost Models for Hierarchical Memory Systems,"S Manegold, P Boncz, M Kersten",VLDB,2002
2214,A Transducer-Based XML Query Processor,"B Ludäscher, P Mukhopadhyay, Y Papakonstantinou",VLDB,2002
2215,Monitoring Streams - A New Class of Data Management Applications,"D Carney, U Çetintemel, M Cherniack, C Convey, S Lee, G Seidman, M Stonebraker, N Tatbul, S Zdonik",VLDB,2002
2216,RE-Tree: An Efficient Index Structure for Regular Expressions,"C Chan, M Garofalakis, R Rastogi",VLDB,2002
2217,Shooting Stars in the Sky: An Online Algorithm for Skyline Queries,"D Kossmann, F Ramsak, S Rost",VLDB,2002
2218,Updates for Structure Indexes,"R Kaushik, P Bohannon, J Naughton, P Shenoy",VLDB,2002
2219,Efficient Structural Joins on Indexed XML Documents,"S Chien, Z Vagena, D Zhang, V Tsotras, C Zaniolo",VLDB,2002
2220,Foundations of Preferences in Database Systems,W Kießling,VLDB,2002
2221,Multi-Dimensional Regression Analysis of Time-Series Data Streams,"Y Chen, G Dong, J Han, B Wah, J Wang",VLDB,2002
2222,Continuous Nearest Neighbor Search,"Y Tao, D Papadias, Q Shen",VLDB,2002
2223,Progressive Merge Join: A Generic and Non-blocking Sort-based Join Algorithm,"J Dittrich, B Seeger, D Taylor, P Widmayer",VLDB,2002
2224,Optimizing Result Prefetching in Web Search Engines with Segmented Indices,"R Lempel, S Moran",VLDB,2002
2225,I/O-Conscious Data Preparation for Large-Scale Web Search Engines,"M Lifantsev, T Chiueh",VLDB,2002
2226,Approximate Frequency Counts over Data Streams,"G Manku, R Motwani",VLDB,2002
2227,StatStream: Statistical Monitoring of Thousands of Data Streams in Real Time,"Y Zhu, D Shasha",VLDB,2002
2228,Adaptive Index Structures,"Y Tao, D Papadias",VLDB,2002
2229,XPathLearner: An On-line Self-Tuning Markov Histogram for XML Path Selectivity Estimation,"L Lim, M Wang, S Padmanabhan, J Vitter, R Parr",VLDB,2002
2230,Distributed Search over the Hidden Web: Hierarchical Database Sampling and Selection,"P Ipeirotis, L Gravano",VLDB,2002
2231,Exact Indexing of Dynamic Time Warping,E Keogh,VLDB,2002
2232,Optimizing the Secure Evaluation of Twig Queries,"S Cho, S Amer-Yahia, L Lakshmanan, D Srivastava",VLDB,2002
2233,Compressed Accessibility Map: Efficient Access Control for XML,"T Yu, D Srivastava, L Lakshmanan, H Jagadish",VLDB,2002
2234,Structure and Value Synopses for XML Data Graphs,"N Polyzotis, M Garofalakis",VLDB,2002
2235,How to Summarize the Universe: Dynamic Maintenance of Quantiles,"A Gilbert, Y Kotidis, S Muthukrishnan, M Strauss",VLDB,2002
2236,A Bandwidth Model for Internet Search,A Uhl,VLDB,2002
2237,Maintaining Coherency of Dynamic Data in Cooperating Repositories,"S Shah, K Ramamritham, P Shenoy",VLDB,2002
2238,Effective Change Detection Using Sampling,"J Cho, A Ntoulas",VLDB,2002
2239,Provisions and Obligations in Policy Management and Security Applications,"C Bettini, S Jajodia, X Wang, D Wijesekera",VLDB,2002
2240,Eliminating Fuzzy Duplicates in Data Warehouses,"R Ananthakrishna, S Chaudhuri, V Ganti",VLDB,2002
2241,Improving Data Access of J2EE Applications by Exploiting Asynchronous Messaging and Caching Services,"S Kounev, A Buchmann",VLDB,2002
2242,View Invalidation for Dynamic Content Caching in Multitiered Architectures,"K Candan, D Agrawal, W Li, O Po, W Hsiung",VLDB,2002
2243,Using Latency-Recency Profiles for Data Delivery on the Web,"L Bright, L Raschid",VLDB,2002
2244,Searching on the Secondary Structure of Protein Sequences,"L Hammel, J Patel",VLDB,2002
2245,Efficient Exploration of Large Scientific Databases,"E Stolte, G Alonso",VLDB,2002
2246,COMA - A System for Flexible Combination of Schema Matching Approaches,"H Do, E Rahm",VLDB,2002
2247,Translating Web Data,"L Popa, Y Velegrakis, R Miller, M Hernández, R Fagin",VLDB,2002
2248,Static Analysis Techniques for Predicting the Behavior of Active Database Rules,"A Aiken, J Hellerstein, J Widom",ACM Trans. Database Syst.,1995
2249,Declarative Updates of Relational Databases,W Chen,ACM Trans. Database Syst.,1995
2250,The INCINERATE Data Model,H Jagadish,ACM Trans. Database Syst.,1995
2251,Quorum Consensus in Nested Transaction Systems,"K Goldman, N Lynch",ACM Trans. Database Syst.,1994
2252,"\Addendum to \""\""Automatic Generation of Production Rules for Integrity Maintenance\""\""\""""","S Ceri, P Fraternali, S Paraboschi, L Tanca",ACM Trans. Database Syst.,1995
2253,Incremental Computation of Nested Relational Query Expressions,"L Bækgaard, L Mark",ACM Trans. Database Syst.,1995
2254,Efficient Checking of Temporal Integrity Constraints Using Bounded History Encoding,J Chomicki,ACM Trans. Database Syst.,1995
2255,Fast Algorithms for Universal Quantification in Large Databases,"G Graefe, R Cole",ACM Trans. Database Syst.,1995
2256,Space Optimization in Deductive Databases,"D Srivastava, S Sudarshan, R Ramakrishnan, J Naughton",ACM Trans. Database Syst.,1995
2257,Query Evaluation in Deductive Databases with Alternating Fixpoint Semantics,W Chen,ACM Trans. Database Syst.,1995
2258,Containment of Conjunctive Queries: Beyond Relations as Sets,"Y Ioannidis, R Ramakrishnan",ACM Trans. Database Syst.,1995
2259,Transaction Chopping: Algorithms and Performance Studies,"D Shasha, F Llirbat, E Simon, P Valduriez",ACM Trans. Database Syst.,1995
2260,A Normal Form for Precisely Characterizing Redundancy in Nested Relations,"W Mok, Y Ng, D Embley",ACM Trans. Database Syst.,1996
2261,Magic Conditions,"I Mumick, S Finkelstein, H Pirahesh, R Ramakrishnan",ACM Trans. Database Syst.,1996
2262,An Execution Model for Limited Ambiguity Rules and Its Application to Derived Data Update,"I Chen, R Hull, D McLeod",ACM Trans. Database Syst.,1995
2263,A Structured Approach for the Definition of the Semantics of Active Databases,"P Fraternali, L Tanca",ACM Trans. Database Syst.,1995
2264,Solving Satisfiability and Implication Problems in Database Systems,"S Guo, W Sun, M Weiss",ACM Trans. Database Syst.,1996
2265,Implementing Deductive Databases by Mixed Integer Programming,"C Bell, A Nerode, R Ng, V Subrahmanian",ACM Trans. Database Syst.,1996
2266,Polymorphism and Type Inference in Database Programming,"P Buneman, A Ohori",ACM Trans. Database Syst.,1996
2267,Modularization Techniques for Active Rules Design,"E Baralis, S Ceri, S Paraboschi",ACM Trans. Database Syst.,1996
2268,Heraclitus: Elevating Deltas to be First-Class Citizens in a Database Programming Language,"S Ghandeharizadeh, R Hull, D Jacobs",ACM Trans. Database Syst.,1996
2269,A Probabilistic Relational Model and Algebra,"D Dey, S Sarkar",ACM Trans. Database Syst.,1996
2270,Tail Recursion Elimination in Deductive Databases,K Ross,ACM Trans. Database Syst.,1996
2271,The Building Blocks for Specifying Communication Behavior of Complex Objects: An Activity-Driven Approach,"L Liu, R Meersman",ACM Trans. Database Syst.,1996
2272,Semantics for Update Rule Programs and Implementations in a Relational Database Management System,"L Raschid, J Lobo",ACM Trans. Database Syst.,1996
2273,Model and Verification of a Data Manager Based on ARIES,D Kuo,ACM Trans. Database Syst.,1996
2274,Declustering of Key-Based Partitioned Signature Files,"P Ciaccia, P Tiberio, P Zezula",ACM Trans. Database Syst.,1996
2275,"LH* - A Scalable, Distributed Data Structure","W Litwin, M Neimat, D Schneider",ACM Trans. Database Syst.,1996
2276,Outerjoin Simplification and Reordering for Query Optimization,"C Galindo-Legaria, A Rosenthal",ACM Trans. Database Syst.,1997
2277,On the Semantics of ``Now'' in Databases,"J Clifford, C Dyreson, T Isakowitz, C Jensen, R Snodgrass",ACM Trans. Database Syst.,1997
2278,Extended Ehemeral Logging: Log Storage Management for Applications with Long Lived Transactions,"J Keen, W Dally",ACM Trans. Database Syst.,1997
2279,An Axiomatic Model of Dynamic Schema Evolution in Objectbase Systems,"R Peters, M Özsu",ACM Trans. Database Syst.,1997
2280,Guest editorial,,,2003
2281,RE-tree: an efficient index structure for regular expressions,"C Chan, M Garofalakis, R Rastogi",VLDB J.,2003
2282,Aurora: a new model and architecture for data stream management,"D Abadi, D Carney, U Çetintemel, M Cherniack, C Convey, S Lee, M Stonebraker, N Tatbul, S Zdonik",VLDB J.,2003
2283,Fast and accurate text classification via multiple linear discriminant projections pp,"S Chakrabarti, S Roy, M Soundalgekar",VLDB J.,2003
2284,Incremental computation and maintenance of temporal aggregates,"J Yang, J Widom",VLDB J.,2003
2285,A case for fractured mirrors,"R Ramamurthy, D DeWitt, Q Su",VLDB J.,2003
2286,A performance study of four index structures for set-valued attributes of low cardinality,"S Helmer, G Moerkotte",VLDB J.,2003
2287,Instance-based attribute identification in database integration,"C Cecil, R Chiang, E Lim",VLDB J.,2003
2288,Cost-driven vertical class partitioning for methods in object oriented databases,"C Fung, K Karlapalem, Q Li",VLDB J.,2003
2289,Computing complete answers to queries in the presence of limited access patterns,C Li,VLDB J.,2003
2290,THESUS: Organizing Web document collections based on link semantics,"M Halkidi, B Nguyen, I Varlamis, M Vazirgiannis",VLDB J.,2003
2291,POESIA: An ontological workflow approach for composing Web services in agriculture,"R Fileto, L Liu, C Pu, E Assad, C Medeiros",VLDB J.,2003
2292,Managing multiple and distributed ontologies on the Semantic Web,"A Maedche, B Motik, L Stojanovic",VLDB J.,2003
2293,Learning to match ontologies on the Semantic Web,"A Doan, J Madhavan, R Dhamankar, P Domingos, A Halevy",VLDB J.,2003
2294,Composing Web services on the Semantic Web,"B Medjahed, A Bouguettaya, A Elmagarmid",VLDB J.,2003
2295,Guest editorial,,,2003
2296,Charter and Scope,W Kim,ACM Trans. Database Syst.,1994
2297,Altruistic Locking,"K Salem, H Garcia-Molina, J Shands",ACM Trans. Database Syst.,1994
2298,On Completeness of Historical Relational Query Languages,"J Clifford, A Croker, A Tuzhilin",ACM Trans. Database Syst.,1994
2299,A Modified Random Perturbation Method for Database Security,"P Tendick, N Matloff",ACM Trans. Database Syst.,1994
2300,A Taxonomy for Secure Object-Oriented Databases,"M Olivier, S Solms",ACM Trans. Database Syst.,1994
2301,Using Semantic Values to Falilitate Interoperability Among Heterogeneous Information Systems,"E Sciore, M Siegel, A Rosenthal",ACM Trans. Database Syst.,1994
2302,Index Structures for Selective Dissemination of Information Under the Boolean Model,"T Yan, H Garcia-Molina",ACM Trans. Database Syst.,1994
2303,Amalgamating Knowledge Bases,V Subrahmanian,ACM Trans. Database Syst.,1994
2304,Automated Resolution of Semantic Heterogeneity in Multidatabases,"M Bright, A Hurson, S Pakzad",ACM Trans. Database Syst.,1994
2305,Tools and Transformations - Rigorous and Otherwise - for Practical Database Design,"A Rosenthal, D Reiner",ACM Trans. Database Syst.,1994
2306,Formal Aspects of Concurrency Control in Long-Duration Transaction Systems Using the NT/PV Model,"H Korth, G Speegle",ACM Trans. Database Syst.,1994
2307,Synthesis of Extended Transaction Models Using ACTA,"P Chrysanthis, K Ramamritham",ACM Trans. Database Syst.,1994
2308,Evaluation of Remote Backup Algorithms for Transaction-Processing Systems,"C Polyzois, H Garcia-Molina",ACM Trans. Database Syst.,1994
2309,Automatic Generation of Production Rules for Integrity Maintenance,"S Ceri, P Fraternali, S Paraboschi, L Tanca",ACM Trans. Database Syst.,1994
2310,Formal Query Languages for Secure Relational Databases,"M Winslett, K Smith, X Qian",ACM Trans. Database Syst.,1994
2311,Bounded Ignorance: A Technique for Increasing Concurrency in a Replicated System,"N Krishnakumar, A Bernstein",ACM Trans. Database Syst.,1994
2312,Tracing the lineage of view data in a warehousing environment,"Y Cui, J Widom, J Wiener",ACM Trans. Database Syst.,2000
2313,Emancipating instances from the tyranny of classes in information modeling,"J Parsons, Y Wand",ACM Trans. Database Syst.,2000
2314,A cost model for query processing in high dimensional data spaces,C Böhm,ACM Trans. Database Syst.,2000
2315,Iterative dynamic programming: a new class of query optimization algorithms,"D Kossmann, K Stocker",ACM Trans. Database Syst.,2000
2316,A model for compound type changes encountered in schema evolution,B Lerner,ACM Trans. Database Syst.,2000
2317,A foundation for representing and quering moving objects,"R Güting, M Böhlen, M Erwig, C Jensen, N Lorentzos, M Schneider, M Vazirgiannis",ACM Trans. Database Syst.,2000
2318,Improving Database Design Through the Analysis of Relationships,"D Dey, V Storey, T Barron",ACM Trans. Database Syst.,1999
2319,Security of Random Data Perturbation Methods,"K Muralidhar, R Sarathy",ACM Trans. Database Syst.,1999
